Winnie-the-Pooh	soweli Wini Pu
And so it seemed to be.	tawa jan la ni li lon.
There were the tracks;	sitelen noka li lon.
crossing over each other here, getting muddled up with each other there;	ona li kama lon poka ante lon ni wan li kama wan nasa lon ni ante.
but, quite plainly every now and then, the tracks of four sets of paws.	taso jan li ken lukin pona e ni lon tenpo pi mute wan: sitelen pi noka tu tu tu li lon.
	
“I think,” said Piglet, when he had licked the tip of his nose too, and found that it brought very little comfort, “I think that I have just remembered something.	“tawa mi la” — li toki pi soweli lili lon tenpo ni: ona sin li uta e nena pi sinpin lawa, taso tawa ona la ni li pana e pilin pi pona lili — “tawa mi la mi kama sin awen sona e ijo.
I have just remembered something that I forgot to do yesterday and shan’t be able to do to-morrow.	mi kama sin awen sona e ijo, mi pini sona e ona lon tenpo suno pini, mi ken ala pali e ona lon tenpo suno kama.
So I suppose I really ought to go back	tan ni la mi wile tawa monsi.
and do it now.”	mi wile pali e ona lon tenpo ni.”
	
“We’ll do it this afternoon,	“mi tu li pali e ona lon pini pi tenpo suno ni.
and I’ll come with you,” said Pooh.	mi tawa lon poka sina” li toki pi soweli Pu.
	
“It isn’t the sort of thing you can do in the afternoon,” said Piglet quickly.	“jan li ken ala pali e ona ni lon pini pi tenpo suno” li toki pi soweli lili lon tenpo lili.
“It’s a very particular morning thing,	“ona li ijo wan pi kama pi tenpo suno.
that has to be done in the morning,	jan li wile pali e ona lon kama pi tenpo suno.
and, if possible, between the hours of—	jan li ken, la ona o pali e ona lon —
What would you say the time was?”	tawa sina la wan seme pi tenpo suno li lon?”
	
“About twelve,” said Winnie-the-Pooh, looking at the sun.	“poka pi insa pi tenpo suno li lon” li toki pi soweli Wini Pu, ona li lukin e suno.
	
“Between, as I was saying, the hours of twelve and twelve five.	“lon — ni li toki mi — insa pi tenpo suno.
So, really, dear old Pooh, if you’ll excuse me—What’s that?”	tan ni la ni la jan pona Pu o, sina wile weka e ike mi, la — seme li lon?”
	
Pooh looked up at the sky, and then, as he heard the whistle again, he looked up into the branches of a big oak-tree, and then he saw a friend of his.	soweli Pu li lukin e sewi li kute e kalama kon uta lon tenpo sin, la ona li lukin e sewi e palisa pi kasi suli li kama lukin e jan pona ona.
	
“It’s Christopher Robin,” he said.	“ni li jan Kitopa Jopin” li toki ona.
	
“Ah, then you’ll be all right,” said Piglet.	“a, ni la sina pona” li toki pi soweli lili.
“You’ll be quite safe with him.	“sina pona lon poka ona.
Good-bye,”	mi tawa.”
and he trotted off home as quickly as he could, very glad to be Out of All Danger again.	ona li tawa weka tawa tomo li pilin pona tan ni: ona li pilin pi pona mute tan ni: oni li lon weka pi ken pi ike kama.
	
Christopher Robin came slowly down his tree.	jan Kitopa Jopin li kama anpa tan kasi suli ona.
	
“Silly old Bear,” he said,	“soweli nasa pi luka wawa o” li toki ona.
“what were you doing?	“sina pali e seme?
First you went round the spinney twice by yourself,	tenpo nanpa wan la sina tawa lon poka sike pi mute pi kasi suli moli.
and then Piglet ran after you	pini ni la soweli lili li tawa wawa tawa monsi sina.
and you went round again together,	sina tu li tawa lon poka sike, lon tenpo sin, lon poka kulupu.
and then you were just going round a fourth time—”	sin la sina tu li tawa lon poka sike lon tenpo nanpa tu tu.”
	
“Wait a moment,” said Winnie-the-Pooh, holding up his paw.	“o awen lili” li toki pi soweli Wini Pu, ona li sewi e luka.
	
He sat down and thought, in the most thoughtful way he could think.	ona li kama anpa lon supa li toki insa pi wawa mute.
Then he fitted his paw into one of the Tracks…	pini ni la ona li lon sitelen luka e luka.
and then he scratched his nose twice, and stood up.	pini ni la ona li luka kiwen e nena pi sinpin lawa lon tenpo tu li kama sinpin.
	
“Yes,” said Winnie-the-Pooh.	“lon” li toki pi soweli Wini Pu.
	
“I see now,” said Winnie-the-Pooh.	“mi sona lon tenpo ni” li toki pi soweli Wini Pu.
	
“I have been Foolish and Deluded,” said he,	“mi nasa” li toki ona.
“and I am a Bear of No Brain at All.”	“mi soweli pi luka wawa, pi lawa pi ala ale.”
	
“You’re the Best Bear in All the World,” said Christopher Robin soothingly.	“sina soweli pi luka wawa, pi pona nanpa wan” li toki suwi pi jan Kitopa Jopin.
	
“Am I?” said Pooh hopefully.	“mi ni anu seme?” li toki pi soweli Pu, ona li pilin pi ken pi pona kama.
And then he brightened up suddenly.	ni la ona li kama sin pilin pona lon tenpo lili.
	
“Anyhow,” he said,	“mu” li toki ona.
“it is nearly Luncheon Time.”	“tenpo moku li kama.”
	
So he went home for it.	ni la ona li tawa tomo tawa moku.
